year,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,German Federal Republic,Greece,Hungary,Iceland,Ireland,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,United States of America,Uzbekistan,
2011,-1.358739,-1.4684403,-2.1920715,-1.5565611,-2.806167,-2.8239625,-1.306731,-1.510657,-1.365908,-1.4090537,-1.6724359,-1.352816,-1.374005,-1.365488,-1.422992,-1.051155,-1.5114901,-1.408951,-1.5050016,-1.4348572,-1.5103349,-1.5047254,-1.4062916,-2.7150785,-2.6048826,-1.355214,-1.358476,-1.4754219,-1.4561421,-1.6586776,-1.4599892,-1.5054749,-1.29127,-1.5089838,-1.355384,-1.4756232,-1.419052,-1.375215,-1.4656103,-1.4238055,-1.4585686,-1.7369314,-2.6356245,-1.8279176,-3.0906046,-1.7622292,-0.87736,0,-2.7232154,
2012,-1.5223749,-1.5270134,-2.3755515,-1.7654434,-2.9658754,-2.9767905,-1.497596,-1.6650663,-1.5282029,-1.485982,-1.8762437,-1.315993,-1.503794,-1.45346,-1.5717209,-1.039934,-1.6472874,-1.5271504,-1.595977,-1.431658,-1.6850402,-1.7465608,-1.6073165,-2.9162386,-2.6448694,-1.417895,-1.434371,-1.6273244,-1.5798344,-1.8730435,-1.5664501,-1.671145,-1.487933,-1.5829837,-1.462113,-1.6004193,-1.5162012,-1.44262,-1.6061607,-1.5592608,-1.6681581,-1.7852748,-2.8532655,-2.0772131,-3.2320469,-1.7238533,-0.949267,0,-2.7092336,
2013,-1.6510946,-1.7254673,-2.59076729,-1.8676832,-3.1539841,-2.9589106,-1.621233,-1.7813211,-1.6628491,-1.6477797,-1.9428721,-1.445575,-1.618661,-1.605284,-1.589578,-1.222633,-1.8237941,-1.490709,-1.7080895,-1.5322,-1.7397384,-1.8029277,-1.6537052,-3.1362601,-3.2372377,-1.601195,-1.594742,-1.6696456,-1.7690565,-1.984689,-1.682551,-1.8047449,-1.612889,-1.6993254,-1.620856,-1.7084803,-1.6807602,-1.608438,-1.7202529,-1.7111574,-1.7035618,-1.9602845,-3.1884509,-2.1842307,-3.5177325,-1.7980191,-0.955568,0,-2.9655025,
2014,-1.6939976,-1.6556334,-2.56277356,-1.7864465,-3.2442054,-2.9425551,-1.6512032,-1.765924,-1.6191,-1.6793912,-1.869196,-1.485789,-1.549911,-1.562838,-1.630502,-1.199542,-1.7730598,-1.364046,-1.7434254,-1.517361,-1.7646176,-1.7696741,-1.6951175,-3.0281175,-3.179719,-1.572205,-1.563449,-1.7032937,-1.718732,-1.9361159,-1.6875895,-1.8681533,-1.560713,-1.64245,-1.602475,-1.6681928,-1.6662051,-1.60358,-1.7284406,-1.7203926,-1.8053702,-1.8237514,-3.5264149,-2.1627335,-3.4522997,-1.592912,-0.929005,0,-2.9914493,
2015,-1.5951585,-1.6530767,-2.4129424,-1.869571,-3.3896411,-2.7748013,-1.459194,-1.758804,-1.554774,-1.5207,-1.915722,-1.296562,-1.451644,-1.397945,-1.6322291,-1.005249,-1.6981831,-1.333491,-1.7393777,-1.398835,-1.638753,-1.8419805,-1.5760338,-3.1494338,-3.3533088,-1.400309,-1.392087,-1.495808,-1.7122402,-1.9773351,-1.6487595,-1.753009,-1.437447,-1.6229814,-1.385814,-1.6388535,-1.563896,-1.454708,-1.515048,-1.450338,-1.8398588,-1.8738921,-3.296254,-1.9772083,-3.4914873,-1.5666607,-0.871193,0,-2.9511103,
2016,-1.442048,-1.5336548,-2.6476883,-1.736096,-3.2762845,-3.496324,-1.36731,-1.7057822,-1.42056,-1.338702,-1.8510891,-1.213731,-1.317446,-1.340991,-1.5172828,-1.004949,-1.5693336,-1.248717,-1.752584,-1.283228,-1.638933,-1.6836842,-1.5485828,-3.014651,-3.2631441,-1.314647,-1.25477,-1.430769,-1.6060043,-1.7681843,-1.6205503,-1.311556,-1.408275,-1.5609727,-1.381133,-1.5411635,-1.332671,-1.328873,-1.379483,-1.311171,-1.6749383,-1.7722948,-3.3198656,-2.0535551,-3.0021536,-1.349594,-0.751437,0,-3.1191076,
2017,-1.453695,-1.8492881,-2.4076676,-2.0592642,-3.5234303,-2.8465325,-1.516483,-1.7062865,-1.522048,-1.444441,-2.0504299,-1.306393,-1.388474,-1.424731,-1.7679203,-0.994892,-1.7545375,-1.312451,-1.6193509,-1.389246,-1.60131,-2.0029467,-1.529193,-3.3057907,-3.5190774,-1.425993,-1.415168,-1.465003,-1.7881704,-2.0275533,-1.9646662,-1.461884,-1.518602,-1.602967,-1.414774,-1.521805,-1.419669,-1.456179,-1.465268,-1.443717,-1.9360495,-2.0502149,-3.4688482,-1.9656328,-3.4116925,-1.475535,-0.898373,0,-2.945564,
2018,-1.708992,-1.9809621,-2.6793885,-2.0413762,-3.5865569,-3.1094069,-1.727338,-2.045056,-1.791293,-1.680757,-2.1730875,-1.491303,-1.655551,-1.635245,-1.8798286,-1.271051,-1.8821456,-1.590857,-1.9115961,-1.381888,-1.9034574,-2.1026211,-1.702431,-3.2682157,-3.6702003,-1.590869,-1.572367,-1.813063,-1.9023462,-2.1204603,-2.0776574,-1.785419,-1.683169,-1.8656535,-1.548887,-1.8647027,-1.694111,-1.69058,-1.753313,-1.786649,-1.9590133,-2.1490194,-3.4661197,-2.2204223,-3.7113627,-1.699994,-1.094476,0,-3.3272139,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,German Federal Republic,Greece,Hungary,Iceland,Ireland,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,United States of America,Uzbekistan,
1991,1.9776086,#VALUE!,2.6159474,1.937983,2.7146812,2.5038409,1.233493,3.2192434,1.606908,#VALUE!,3.3078412,#VALUE!,1.649849,1.759133,1.735494,1.090672,#VALUE!,1.253611,2.0758419,1.744017,1.680784,1.867953,1.390923,#VALUE!,#VALUE!,1.704575,1.878345,1.327537,#VALUE!,2.5137279,#VALUE!,#VALUE!,1.242282,1.666448,1.668663,1.616942,1.517821,#VALUE!,#VALUE!,2.0065566,1.802906,#VALUE!,#VALUE!,2.2982066,#VALUE!,2.6495976,0.771807,0,#VALUE!,
1992,2.0328911,#VALUE!,2.6505214,1.888126,2.7458214,2.5760379,1.40569,3.2377768,1.588583,1.930281,3.5416504,#VALUE!,1.707205,1.841682,1.710767,1.188673,#VALUE!,1.425635,2.1080493,1.668392,1.715291,1.929398,1.430689,2.4380321,2.3049776,1.779416,1.879401,1.404048,#VALUE!,2.243196,1.86404,#VALUE!,1.425067,1.783507,1.688909,1.713594,1.561883,#VALUE!,1.718306,2.0462333,1.841638,#VALUE!,3.1084205,2.2960663,2.93791429,2.5664025,0.900546,0,#VALUE!,
1993,2.0586443,1.459217,2.3693248,1.850799,2.731068,2.5355631,1.404047,3.02964164,1.458882,1.84192,3.0812103,1.486385,1.696336,1.924529,1.615518,1.048648,1.733596,1.2771,2.0163155,1.616495,1.633573,1.816948,1.381135,2.4552836,2.5970726,1.920741,1.889578,1.388289,2.3749577,2.0917508,1.808897,#VALUE!,1.312073,1.669236,1.589592,1.603181,1.514909,1.627721,1.864375,1.925463,1.790036,#VALUE!,2.4627277,2.1873572,2.6557356,2.6740431,0.784265,0,#VALUE!,
1994,1.968738,1.767608,2.3335687,1.873129,2.7337839,2.4416168,1.457368,2.8906973,1.754872,2.1024965,3.1770969,1.555163,1.618208,1.853569,1.537102,0.952263,1.816368,1.430128,1.81502,1.479219,1.676409,1.925198,1.427765,2.4659386,2.94510157,1.701934,1.729972,1.45397,1.941938,1.98772,1.796754,#VALUE!,1.410076,1.66293,1.547454,1.636126,1.584157,1.562302,1.854892,1.822172,1.884273,#VALUE!,2.1819838,2.1427409,2.7492417,2.2740562,0.664042,0,2.5984992,
1995,2.1864188,2.019443,2.3938445,2.013811,2.8103281,2.587292,1.321278,2.5065634,1.990566,2.1391733,3.12228708,1.907996,1.916327,2.001456,1.891163,1.237852,1.18122,1.838162,1.557049,1.833392,1.958001,2.1244801,1.841112,2.5678209,3.01351389,1.340963,1.924252,1.886256,2.173179,2.3017342,2.016263,#VALUE!,1.762237,1.955411,1.863515,1.96877,1.931545,1.903248,1.98134,2.061662,2.031916,#VALUE!,2.453115,2.3162861,3.2335951,2.5751866,0.608118,0,2.1659509,
1996,1.921462,1.825375,2.4228174,2.011576,2.8293429,2.5639762,1.545112,2.5509632,1.790653,2.073652,2.4500697,1.729546,1.687456,1.814943,1.604797,1.232433,2.2518986,1.747478,1.685669,1.651775,1.738579,2.099173,1.696238,2.5854914,2.7946739,1.771143,1.724515,1.594162,2.01426,2.7673943,2.073948,#VALUE!,1.529387,1.757279,1.764299,1.678414,1.730394,1.781939,1.759948,1.773003,2.028176,#VALUE!,2.3710192,2.3565394,3.9637061,2.5093973,0.969049,0,2.341945,
1997,1.786622,1.612477,2.1564738,1.800704,2.7438485,2.6078673,1.439677,#VALUE!,1.530751,1.789436,2.2837877,1.558128,1.620614,1.643457,1.606464,1.007251,2.2029757,1.479676,1.562849,1.584579,1.519065,1.868141,1.485859,2.5824772,2.69601,1.585388,1.610661,1.402267,1.81616,2.5743386,1.891992,#VALUE!,1.381276,1.609551,1.54787,1.574113,1.638694,1.612913,1.641945,1.561492,1.768918,#VALUE!,2.6527455,2.3084078,2.7699934,2.437233,0.825001,0,2.2670323,
