year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
1996,YUG,TCA,ALL,11000,0.000040%
1996,YUG,TTO,ALL,1111.26,0.0000040%
1996,YUG,UMI,ALL,24000,0.000087%
1996,YUG,USA,ALL,28059889,0.10%
1996,YUG,VCT,ALL,378000,0.0014%
1996,YUG,VGB,ALL,1040000,0.0038%
1996,YUG,AUS,ALL,838000,0.0031%
1996,YUG,MHL,ALL,58000,0.00021%
1996,YUG,NZL,ALL,104304.89,0.00038%
1996,YUG,PYF,ALL,16590.17,0.000060%
1996,YUG,SLB,ALL,2000,0.0000073%
1996,YUG,ARG,ALL,1252101.51,0.0046%
1996,YUG,BOL,ALL,49371.4,0.00018%
1996,YUG,BRA,ALL,297000,0.0011%
1996,YUG,CHL,ALL,1092,0.0000040%
1996,YUG,COL,ALL,22994.66,0.000084%
1996,YUG,ECU,ALL,516924.61,0.0019%
1996,YUG,PER,ALL,2944118.02,0.011%
1996,YUG,URY,ALL,37000,0.00013%
1996,YUG,VEN,ALL,46221.06,0.00017%
1997,YUG,BFA,ALL,4986,0.000018%
1997,YUG,CIV,ALL,938525,0.0034%
1997,YUG,CMR,ALL,2004151.9,0.0073%
1997,YUG,COD,ALL,43000,0.00016%
1997,YUG,COG,ALL,46000,0.00017%
1997,YUG,DZA,ALL,16543978.2,0.060%
1997,YUG,EGY,ALL,35954561.19,0.13%
1997,YUG,ERI,ALL,3000,0.000011%
1997,YUG,ETH,ALL,281133.03,0.0010%
1997,YUG,GAB,ALL,5000,0.000018%
1997,YUG,GHA,ALL,428354.54,0.0016%
1997,YUG,GIN,ALL,74799.46,0.00027%
1997,YUG,KEN,ALL,51220.21,0.00019%
1997,YUG,LBR,ALL,1154000,0.0042%
1997,YUG,LBY,ALL,184000,0.00067%
1997,YUG,MAR,ALL,425000,0.0015%
1997,YUG,MDG,ALL,63178.21,0.00023%
1997,YUG,MLI,ALL,32870.06,0.00012%
1997,YUG,MUS,ALL,2656.95,0.0000097%
1997,YUG,NER,ALL,1824,0.0000066%
1997,YUG,NGA,ALL,1189953.85,0.0043%
1997,YUG,RWA,ALL,5011.5,0.000018%
1997,YUG,SDN,ALL,239374.96,0.00087%
1997,YUG,SEN,ALL,1154677.06,0.0042%
1997,YUG,SHN,ALL,15000,0.000055%
1997,YUG,SLE,ALL,305000,0.0011%
1997,YUG,STP,ALL,90000,0.00033%
1997,YUG,SYC,ALL,16000,0.000058%
1997,YUG,TGO,ALL,10750,0.000039%
1997,YUG,TUN,ALL,6503470,0.024%
1997,YUG,TZA,ALL,40186.98,0.00015%
1997,YUG,UGA,ALL,16801,0.000061%
1997,YUG,ZAF,ALL,11097664.2,0.040%
1997,YUG,ZMB,ALL,4562,0.000017%
1997,YUG,ZWE,ALL,14000,0.000051%
1997,YUG,ARE,ALL,1824000,0.0066%
1997,YUG,ARM,ALL,59801.87,0.00022%
1997,YUG,AZE,ALL,703285.82,0.0026%
1997,YUG,BGD,ALL,3038051.09,0.011%
1997,YUG,BHR,ALL,17000,0.000062%
1997,YUG,CHN,ALL,8015430.09,0.029%
1997,YUG,CYP,ALL,18092043.92,0.066%
1997,YUG,GEO,ALL,1766964.22,0.0064%
1997,YUG,HKG,ALL,7345538.85,0.027%
1997,YUG,IDN,ALL,5389938.52,0.020%
1997,YUG,IND,ALL,7589904.1,0.028%
1997,YUG,IRN,ALL,15072095.25,0.055%
1997,YUG,ISR,ALL,9347190.77,0.034%
1997,YUG,JOR,ALL,751770.45,0.0027%
1997,YUG,JPN,ALL,1918614.3,0.0070%
1997,YUG,KAZ,ALL,674000,0.0025%
1997,YUG,KOR,ALL,6674624.51,0.024%
1997,YUG,KWT,ALL,66000,0.00024%
1997,YUG,LBN,ALL,3296926.42,0.012%
1997,YUG,MAC,ALL,1495.77,0.0000054%
1997,YUG,MMR,ALL,169000,0.00062%
1997,YUG,MNG,ALL,116908.51,0.00043%
1997,YUG,MYS,ALL,788261.49,0.0029%
1997,YUG,NPL,ALL,1000,0.0000036%
1997,YUG,OMN,ALL,17920,0.000065%
1997,YUG,PAK,ALL,410000,0.0015%
1997,YUG,PHL,ALL,177000,0.00064%
1997,YUG,PRK,ALL,14000,0.000051%
1997,YUG,SAU,ALL,681000,0.0025%
1997,YUG,SGP,ALL,4000,0.000015%
1997,YUG,SYR,ALL,2319000,0.0084%
1997,YUG,THA,ALL,3106489.25,0.011%
1997,YUG,TUR,ALL,31061259.52,0.11%
1997,YUG,UZB,ALL,1834000,0.0067%
1997,YUG,XXB,ALL,144000,0.00052%
1997,YUG,YEM,ALL,223000,0.00081%
1997,YUG,ALB,ALL,2727064.54,0.0099%
1997,YUG,AUT,ALL,43017522.09,0.16%
1997,YUG,BGR,ALL,48431382.63,0.18%
1997,YUG,BIH,ALL,435896000,1.6%
1997,YUG,BLR,ALL,3540000,0.013%
1997,YUG,BLX,ALL,15055506.99,0.055%
1997,YUG,CHE,ALL,163861178.47,0.60%
1997,YUG,CZE,ALL,21292540.7,0.078%
1997,YUG,DEU,ALL,292701122.63,1.1%
1997,YUG,DNK,ALL,10137847.61,0.037%
1997,YUG,ESP,ALL,18623380.94,0.068%
1997,YUG,EST,ALL,140883.76,0.00051%
1997,YUG,FIN,ALL,3420020.8,0.012%
1997,YUG,FRA,ALL,69052936.58,0.25%
1997,YUG,GBR,ALL,78758568.6,0.29%
1997,YUG,GRC,ALL,133356952.04,0.49%
1997,YUG,HRV,ALL,50580065.08,0.18%
1997,YUG,HUN,ALL,62929572.08,0.23%
1997,YUG,IRL,ALL,4471852,0.016%
1997,YUG,ISL,ALL,273847.65,0.0010%
1997,YUG,ITA,ALL,455919956.4,1.7%
1997,YUG,LTU,ALL,493560.48,0.0018%
1997,YUG,LVA,ALL,1518070.75,0.0055%
1997,YUG,MDA,ALL,1180000,0.0043%
1997,YUG,MKD,ALL,212443399.86,0.77%
1997,YUG,MLT,ALL,325098.51,0.0012%
