year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
1997,YUG,AZE,ALL,3465764.83,0.0058%
1997,YUG,BGD,ALL,1135779.48,0.0019%
1997,YUG,BHR,ALL,43538.2,0.000073%
1997,YUG,BRN,ALL,44000,0.000074%
1997,YUG,BTN,ALL,13000,0.000022%
1997,YUG,CCK,ALL,20536.12,0.000034%
1997,YUG,CHN,ALL,60691063.98,0.10%
1997,YUG,CXR,ALL,3000,0.0000050%
1997,YUG,CYP,ALL,78870570.96,0.13%
1997,YUG,GEO,ALL,242763.07,0.00041%
1997,YUG,HKG,ALL,6580764.5,0.011%
1997,YUG,IDN,ALL,39875705.86,0.067%
1997,YUG,IND,ALL,25689436.57,0.043%
1997,YUG,IOT,ALL,18964.7,0.000032%
1997,YUG,IRN,ALL,29515216.48,0.049%
1997,YUG,IRQ,ALL,18347.54,0.000031%
1997,YUG,ISR,ALL,10468548.43,0.018%
1997,YUG,JOR,ALL,669480.23,0.0011%
1997,YUG,JPN,ALL,48455651.75,0.081%
1997,YUG,KAZ,ALL,2673390.52,0.0045%
1997,YUG,KHM,ALL,3000,0.0000050%
1997,YUG,KOR,ALL,22959111.72,0.038%
1997,YUG,KWT,ALL,7607.54,0.000013%
1997,YUG,LAO,ALL,37701.97,0.000063%
1997,YUG,LBN,ALL,90124.86,0.00015%
1997,YUG,LKA,ALL,4931258.63,0.0083%
1997,YUG,MAC,ALL,97644.38,0.00016%
1997,YUG,MYS,ALL,14289973.47,0.024%
1997,YUG,NPL,ALL,59000,0.000099%
1997,YUG,PAK,ALL,432469.64,0.00073%
1997,YUG,PHL,ALL,2681649.34,0.0045%
1997,YUG,PRK,ALL,78000,0.00013%
1997,YUG,SAU,ALL,27804.85,0.000047%
1997,YUG,SGP,ALL,6611665.32,0.011%
1997,YUG,SYR,ALL,7171746.15,0.012%
1997,YUG,THA,ALL,4796027.13,0.0080%
1997,YUG,TJK,ALL,932436.78,0.0016%
1997,YUG,TKM,ALL,77558.2,0.00013%
1997,YUG,TUR,ALL,66309319,0.11%
1997,YUG,UZB,ALL,8589331.69,0.014%
1997,YUG,VNM,ALL,2465970.02,0.0041%
1997,YUG,XXB,ALL,7014838.13,0.012%
1997,YUG,ALB,ALL,906230.84,0.0015%
1997,YUG,AUT,ALL,197814520.39,0.33%
1997,YUG,BGR,ALL,137781276.47,0.23%
1997,YUG,BIH,ALL,266415435.15,0.45%
1997,YUG,BLR,ALL,8456038.71,0.014%
1997,YUG,BLX,ALL,82414356.31,0.14%
1997,YUG,CHE,ALL,99259326.7,0.17%
1997,YUG,CZE,ALL,92587293.14,0.16%
1997,YUG,DEU,ALL,611842533.26,1.0%
1997,YUG,DNK,ALL,29202203.37,0.049%
1997,YUG,ESP,ALL,24516031.67,0.041%
1997,YUG,EST,ALL,161645,0.00027%
1997,YUG,FIN,ALL,8295076.25,0.014%
1997,YUG,FRA,ALL,155546070.02,0.26%
1997,YUG,GBR,ALL,94176485.59,0.16%
1997,YUG,GIB,ALL,89851.94,0.00015%
1997,YUG,GRC,ALL,219155770.59,0.37%
1997,YUG,HRV,ALL,33924118.88,0.057%
1997,YUG,HUN,ALL,149780480.04,0.25%
1997,YUG,IRL,ALL,16803686.29,0.028%
1997,YUG,ISL,ALL,248057.19,0.00042%
1997,YUG,ITA,ALL,517880517.35,0.87%
1997,YUG,LTU,ALL,2228990.91,0.0037%
1997,YUG,LVA,ALL,1892612.8,0.0032%
1997,YUG,MDA,ALL,35702.62,0.000060%
1997,YUG,MKD,ALL,290958132.72,0.49%
1997,YUG,MLT,ALL,342086.38,0.00057%
1997,YUG,NLD,ALL,106209544.54,0.18%
1997,YUG,NOR,ALL,23251748.04,0.039%
1997,YUG,POL,ALL,60449305.49,0.10%
1997,YUG,PRT,ALL,1725420.71,0.0029%
1997,YUG,ROU,ALL,135184916.98,0.23%
1997,YUG,RUS,ALL,368677528.4,0.62%
1997,YUG,SVK,ALL,70952025.49,0.12%
1997,YUG,SVN,ALL,112879296.58,0.19%
1997,YUG,SWE,ALL,51285234.42,0.086%
1997,YUG,UKR,ALL,53218205.39,0.089%
1997,YUG,ATG,ALL,68848.33,0.00012%
1997,YUG,BHS,ALL,4896644.8,0.0082%
1997,YUG,BRB,ALL,12000,0.000020%
1997,YUG,CAN,ALL,10745602.63,0.018%
1997,YUG,CRI,ALL,5347079.18,0.0090%
1997,YUG,CUB,ALL,1058539.57,0.0018%
1997,YUG,DMA,ALL,14145.88,0.000024%
1997,YUG,DOM,ALL,72992.21,0.00012%
1997,YUG,GRD,ALL,4000,0.0000067%
1997,YUG,GTM,ALL,123838.44,0.00021%
1997,YUG,JAM,ALL,3986.74,0.0000067%
1997,YUG,KNA,ALL,1000,0.0000017%
1997,YUG,MEX,ALL,1244598.7,0.0021%
1997,YUG,NIC,ALL,7593.5,0.000013%
1997,YUG,PAN,ALL,618836.26,0.0010%
1997,YUG,TTO,ALL,12000,0.000020%
1997,YUG,UMI,ALL,5621.13,0.0000094%
1997,YUG,USA,ALL,121490569.16,0.20%
1997,YUG,VGB,ALL,1607947.73,0.0027%
1997,YUG,AUS,ALL,6087659.91,0.010%
1997,YUG,COK,ALL,17748.63,0.000030%
1997,YUG,FSM,ALL,11399.14,0.000019%
1997,YUG,KIR,ALL,3000,0.0000050%
1997,YUG,MHL,ALL,152987.04,0.00026%
1997,YUG,MNP,ALL,1000,0.0000017%
1997,YUG,NCL,ALL,7002.14,0.000012%
1997,YUG,NZL,ALL,406330.1,0.00068%
1997,YUG,TON,ALL,3882.83,0.0000065%
1997,YUG,TUV,ALL,53134.07,0.000089%
1997,YUG,ARG,ALL,17176462.17,0.029%
1997,YUG,BOL,ALL,12000,0.000020%
1997,YUG,BRA,ALL,52230728.27,0.088%
1997,YUG,CHL,ALL,9388372.07,0.016%
1997,YUG,COL,ALL,8479360.71,0.014%
1997,YUG,ECU,ALL,18239111.19,0.031%
1997,YUG,FLK,ALL,81351.1,0.00014%
1997,YUG,PER,ALL,15566260.18,0.026%
1997,YUG,SUR,ALL,136925.58,0.00023%
1997,YUG,URY,ALL,252050.36,0.00042%
1997,YUG,VEN,ALL,4741440.11,0.0079%
1998,YUG,BEN,ALL,108301,0.00018%
1998,YUG,CIV,ALL,5774926.96,0.0097%
1998,YUG,CMR,ALL,1404092.9,0.0024%
1998,YUG,COD,ALL,94192.41,0.00016%
1998,YUG,COG,ALL,179035.37,0.00030%
1998,YUG,DJI,ALL,27110.15,0.000045%
1998,YUG,DZA,ALL,989305.67,0.0017%
1998,YUG,EGY,ALL,3097653.08,0.0052%
1998,YUG,ETH,ALL,8739.5,0.000015%
1998,YUG,GHA,ALL,3201615.55,0.0054%
1998,YUG,GIN,ALL,1317820.95,0.0022%
1998,YUG,GMB,ALL,20438.62,0.000034%
1998,YUG,KEN,ALL,10000,0.000017%
1998,YUG,LBR,ALL,144640.61,0.00024%
1998,YUG,LBY,ALL,51583186.97,0.086%
1998,YUG,MAR,ALL,2913132.33,0.0049%
1998,YUG,MDG,ALL,212252.45,0.00036%
1998,YUG,MLI,ALL,37857.4,0.000063%
1998,YUG,MOZ,ALL,6000,0.000010%
1998,YUG,MRT,ALL,1496674.81,0.0025%
1998,YUG,MUS,ALL,66326.63,0.00011%
1998,YUG,MWI,ALL,13070.93,0.000022%
1998,YUG,NGA,ALL,692354.79,0.0012%
1998,YUG,SDN,ALL,596875.8,0.0010%
1998,YUG,SEN,ALL,14938.21,0.000025%
1998,YUG,SLE,ALL,297097.54,0.00050%
1998,YUG,SOM,ALL,6374.36,0.000011%
1998,YUG,STP,ALL,21077.08,0.000035%
1998,YUG,TCD,ALL,927182.39,0.0016%
1998,YUG,TGO,ALL,72428.91,0.00012%
1998,YUG,TUN,ALL,1218243.06,0.0020%
1998,YUG,TZA,ALL,4000,0.0000067%
1998,YUG,UGA,ALL,1610010.47,0.0027%
1998,YUG,ZAF,ALL,9568422.1,0.016%
1998,YUG,ZMB,ALL,2608,0.0000044%
1998,YUG,ZWE,ALL,591873.51,0.00099%
1998,YUG,AFG,ALL,653864.07,0.0011%
1998,YUG,ARE,ALL,323310.74,0.00054%
1998,YUG,ARM,ALL,2048140.05,0.0034%
1998,YUG,AZE,ALL,156259.58,0.00026%
1998,YUG,BGD,ALL,1336958.5,0.0022%
1998,YUG,BHR,ALL,11044159.01,0.019%
1998,YUG,BRN,ALL,27000,0.000045%
1998,YUG,CCK,ALL,61000,0.00010%
1998,YUG,CHN,ALL,59519947.72,0.10%
1998,YUG,CXR,ALL,2985.15,0.0000050%
1998,YUG,CYP,ALL,88932602.02,0.15%
1998,YUG,GEO,ALL,93219,0.00016%
1998,YUG,HKG,ALL,3724922.89,0.0062%
1998,YUG,IDN,ALL,20994810.87,0.035%
1998,YUG,IND,ALL,20317473.9,0.034%
1998,YUG,IOT,ALL,44502.36,0.000075%
1998,YUG,IRN,ALL,26010002.35,0.044%
1998,YUG,IRQ,ALL,46031365.48,0.077%
1998,YUG,ISR,ALL,15065456.05,0.025%
1998,YUG,JOR,ALL,136457.17,0.00023%
1998,YUG,JPN,ALL,50495861.06,0.085%
1998,YUG,KAZ,ALL,568667.68,0.00095%
1998,YUG,KOR,ALL,39361583.67,0.066%
1998,YUG,KWT,ALL,2000,0.0000034%
1998,YUG,LAO,ALL,83510.8,0.00014%
1998,YUG,LBN,ALL,212911.68,0.00036%
1998,YUG,LKA,ALL,4835874.35,0.0081%
1998,YUG,MAC,ALL,18856.87,0.000032%
1998,YUG,MNG,ALL,38355.4,0.000064%
1998,YUG,MYS,ALL,16326016.48,0.027%
1998,YUG,NPL,ALL,20000,0.000034%
1998,YUG,OMN,ALL,759188.09,0.0013%
1998,YUG,PAK,ALL,334902.49,0.00056%
1998,YUG,PHL,ALL,679351.25,0.0011%
1998,YUG,PRK,ALL,73958.53,0.00012%
1998,YUG,SAU,ALL,132565.08,0.00022%
1998,YUG,SGP,ALL,4432329.17,0.0074%
1998,YUG,SYR,ALL,5121179.32,0.0086%
1998,YUG,THA,ALL,8089248.6,0.014%
1998,YUG,TKM,ALL,69681.87,0.00012%
1998,YUG,TUR,ALL,99353276.99,0.17%
1998,YUG,UZB,ALL,8114749.42,0.014%
1998,YUG,VNM,ALL,1571354.69,0.0026%
1998,YUG,XXB,ALL,5854096.26,0.0098%
1998,YUG,YEM,ALL,6596.67,0.000011%
1998,YUG,ALB,ALL,932893.35,0.0016%
1998,YUG,AUT,ALL,186613082.03,0.31%
1998,YUG,BGR,ALL,97284713.98,0.16%
