,PERIOD,PARTNER,REPORTER,PRODUCT,FLOW,INDICATORS,Value,Per
1249,Jan.-Dec. 1992,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1250,Jan.-Dec. 1993,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1251,Jan.-Dec. 1994,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1252,Jan.-Dec. 1995,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1253,Jan.-Dec. 1996,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1254,Jan.-Dec. 1997,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1255,Jan.-Dec. 1998,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1256,Jan.-Dec. 1999,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
223,Jan.-Dec. 2010,EU28_INTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"9,551,261,545",#VALUE!
252,Jan.-Dec. 2010,GERMANY (incl DD from 1991),BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,658,701,620",#VALUE!
281,Jan.-Dec. 2010,EU28_EXTRA,CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,465,986,332",0.309188021
310,Jan.-Dec. 2010,EU28_INTRA,CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"5,439,255,443",1.06138276
339,Jan.-Dec. 2010,GERMANY (incl DD from 1991),CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"922,695,853",0.103612667
368,Jan.-Dec. 2010,EU28_EXTRA,CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"356,290,131",0.056003279
397,Jan.-Dec. 2010,EU28_INTRA,CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"701,385,430",0.548391803
426,Jan.-Dec. 2010,GERMANY (incl DD from 1991),CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"105,696,487",0.099932806
455,Jan.-Dec. 2010,EU28_EXTRA,CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"15,706,900,897",19.46134657
484,Jan.-Dec. 2010,EU28_INTRA,CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"84,603,603,271",5.350392552
513,Jan.-Dec. 2010,GERMANY (incl DD from 1991),CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"32,453,991,806",0.323535327
542,Jan.-Dec. 2010,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"24,953,996,967",0.213177086
571,Jan.-Dec. 2010,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"47,792,659,613",0.832508866
600,Jan.-Dec. 2010,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"12,320,091,898",0.169356125
629,Jan.-Dec. 2010,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,744,824,570",0.04566127
658,Jan.-Dec. 2010,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"5,998,182,748",0.398155726
687,Jan.-Dec. 2010,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"454,569,900",0.051992396
716,Jan.-Dec. 2010,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"23,901,930,899",3.704144913
745,Jan.-Dec. 2010,EU28_INTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"28,536,655,759",1.171623789
1276,Jan.-Dec. 2019,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1277,Jan.-Dec. 1991,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1278,Jan.-Dec. 1992,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1279,Jan.-Dec. 1993,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1280,Jan.-Dec. 1994,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1281,Jan.-Dec. 1995,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1282,Jan.-Dec. 1996,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1283,Jan.-Dec. 1997,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1284,Jan.-Dec. 1998,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1285,Jan.-Dec. 1999,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"272,442,383",
774,Jan.-Dec. 2010,GERMANY (incl DD from 1991),FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"5,275,925,804",#VALUE!
803,Jan.-Dec. 2010,EU28_EXTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"154,152,988,720",27.78348219
832,Jan.-Dec. 2010,EU28_INTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"240,934,164,761",1.511232548
861,Jan.-Dec. 2010,GERMANY (incl DD from 1991),FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"63,795,224,184",0.161471269
890,Jan.-Dec. 2010,EU28_EXTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"9,660,302,671",0.03170125
919,Jan.-Dec. 2010,EU28_INTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"11,640,086,414",0.158464406
948,Jan.-Dec. 2010,GERMANY (incl DD from 1991),GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"1,960,484,717",0.092039855
977,Jan.-Dec. 2010,EU28_EXTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"15,554,860,897",1.143691743
1006,Jan.-Dec. 2010,EU28_INTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"56,469,402,470",3.223995901
1035,Jan.-Dec. 2010,GERMANY (incl DD from 1991),HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"17,986,965,113",0.249734801
1064,Jan.-Dec. 2010,EU28_EXTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"37,501,598,573",0.503672148
1093,Jan.-Dec. 2010,EU28_INTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"51,158,636,122",0.921967208
1122,Jan.-Dec. 2010,GERMANY (incl DD from 1991),IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"5,834,746,423",0.065810185
1151,Jan.-Dec. 2010,EU28_EXTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"141,884,612,507",2.489492748
1180,Jan.-Dec. 2010,EU28_INTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"195,522,739,603",1.323609451
1209,Jan.-Dec. 2010,GERMANY (incl DD from 1991),ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"43,928,017,460",0.130192828
1238,Jan.-Dec. 2010,EU28_EXTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,351,435,544",0.009820122
1267,Jan.-Dec. 2010,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"4,839,072,343",0.104562004
1296,Jan.-Dec. 2010,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"585,149,699",0.081378076
1305,Jan.-Dec. 2019,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1306,Jan.-Dec. 1991,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1307,Jan.-Dec. 1992,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1308,Jan.-Dec. 1993,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1309,Jan.-Dec. 1994,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1310,Jan.-Dec. 1995,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1311,Jan.-Dec. 1996,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1312,Jan.-Dec. 1997,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1313,Jan.-Dec. 1998,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1314,Jan.-Dec. 1999,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1325,Jan.-Dec. 2010,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"6,097,044,680",#VALUE!
1354,Jan.-Dec. 2010,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"9,553,687,585",#VALUE!
1383,Jan.-Dec. 2010,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,547,061,997",0.098849177
1412,Jan.-Dec. 2010,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"2,403,147,826",0.216485185
1441,Jan.-Dec. 2010,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"11,777,181,075",2.981406458
1470,Jan.-Dec. 2010,GERMANY (incl DD from 1991),LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"2,966,619,441",0.209206674
1499,Jan.-Dec. 2010,EU28_EXTRA,MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,590,627,868",0.107884522
1528,Jan.-Dec. 2010,EU28_INTRA,MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,114,308,079",0.24451341
1557,Jan.-Dec. 2010,GERMANY (incl DD from 1991),MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"281,563,992",0.104092665
1586,Jan.-Dec. 2010,EU28_EXTRA,NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"98,230,372,981",70.37204556
1615,Jan.-Dec. 2010,EU28_INTRA,NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"334,942,716,776",3.400021633
1644,Jan.-Dec. 2010,GERMANY (incl DD from 1991),NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"111,895,592,258",0.258316121
1673,Jan.-Dec. 2010,EU28_EXTRA,POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"24,902,816,178",0.055731158
1702,Jan.-Dec. 2010,EU28_INTRA,POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"95,579,757,853",0.698690569
1731,Jan.-Dec. 2010,GERMANY (incl DD from 1991),POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"31,453,640,545",0.261063816
1760,Jan.-Dec. 2010,EU28_EXTRA,PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"9,151,249,497",0.072038138
1789,Jan.-Dec. 2010,EU28_INTRA,PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"28,116,657,011",0.692445097
1818,Jan.-Dec. 2010,GERMANY (incl DD from 1991),PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"4,851,544,617",0.130180229
1847,Jan.-Dec. 2010,EU28_EXTRA,ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"10,287,925,052",0.312055998
1334,Jan.-Dec. 2019,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1335,Jan.-Dec. 1991,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1336,Jan.-Dec. 1992,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1337,Jan.-Dec. 1993,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1338,Jan.-Dec. 1994,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1339,Jan.-Dec. 1995,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1340,Jan.-Dec. 1996,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1341,Jan.-Dec. 1997,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1342,Jan.-Dec. 1998,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1343,Jan.-Dec. 1999,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1876,Jan.-Dec. 2010,EU28_INTRA,ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"27,110,506,068",#VALUE!
1905,Jan.-Dec. 2010,GERMANY (incl DD from 1991),ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"6,765,222,730",#VALUE!
2021,Jan.-Dec. 2010,EU28_EXTRA,SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"7,447,728,003",0.219854399
2050,Jan.-Dec. 2010,EU28_INTRA,SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"41,329,178,216",2.907853478
2079,Jan.-Dec. 2010,GERMANY (incl DD from 1991),SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"9,293,934,186",0.190539641
1934,Jan.-Dec. 2010,EU28_EXTRA,SLOVENIA,TOTAL,EXPORT,VALUE_IN_EUROS,"4,937,846,573",0.097541347
1963,Jan.-Dec. 2010,EU28_INTRA,SLOVENIA,TOTAL,EXPORT,VALUE_IN_EUROS,"17,089,038,423",1.200765998
1992,Jan.-Dec. 2010,GERMANY (incl DD from 1991),SLOVENIA,TOTAL,EXPORT,VALUE_IN_EUROS,"4,257,021,288",0.193264789
2108,Jan.-Dec. 2010,EU28_EXTRA,SPAIN,TOTAL,EXPORT,VALUE_IN_EUROS,"59,915,458,439",2.806862683
2137,Jan.-Dec. 2010,EU28_INTRA,SPAIN,TOTAL,EXPORT,VALUE_IN_EUROS,"131,996,426,776",2.056900829
2166,Jan.-Dec. 2010,GERMANY (incl DD from 1991),SPAIN,TOTAL,EXPORT,VALUE_IN_EUROS,"20,464,223,148",0.106633433
2195,Jan.-Dec. 2010,EU28_EXTRA,SWEDEN,TOTAL,EXPORT,VALUE_IN_EUROS,"51,214,626,340",0.335920294
2224,Jan.-Dec. 2010,EU28_INTRA,SWEDEN,TOTAL,EXPORT,VALUE_IN_EUROS,"68,382,094,462",0.954006586
2253,Jan.-Dec. 2010,GERMANY (incl DD from 1991),SWEDEN,TOTAL,EXPORT,VALUE_IN_EUROS,"11,864,819,633",0.099206898
2282,Jan.-Dec. 2010,EU28_EXTRA,UNITED KINGDOM,TOTAL,EXPORT,VALUE_IN_EUROS,"148,087,054,369",1.845392512
2311,Jan.-Dec. 2010,EU28_INTRA,UNITED KINGDOM,TOTAL,EXPORT,VALUE_IN_EUROS,"165,678,490,179",1.03580212
2340,Jan.-Dec. 2010,GERMANY (incl DD from 1991),UNITED KINGDOM,TOTAL,EXPORT,VALUE_IN_EUROS,"31,437,680,477",0.100194814
21,Jan.-Dec. 2011,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"36,518,606,793",0.185264388
50,Jan.-Dec. 2011,EU28_INTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"90,943,745,803",1.338268311
1363,Jan.-Dec. 2019,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1364,Jan.-Dec. 1991,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1365,Jan.-Dec. 1992,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1366,Jan.-Dec. 1993,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1367,Jan.-Dec. 1994,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1368,Jan.-Dec. 1995,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1369,Jan.-Dec. 1996,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1370,Jan.-Dec. 1997,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1371,Jan.-Dec. 1998,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1372,Jan.-Dec. 1999,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"436,332,195",
79,Jan.-Dec. 2011,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"39,829,235,432",#VALUE!
108,Jan.-Dec. 2011,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"95,676,243,138",2.376130495
137,Jan.-Dec. 2011,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"246,041,969,815",1.815734481
166,Jan.-Dec. 2011,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"61,904,360,451",0.181156163
195,Jan.-Dec. 2011,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"7,576,007,254",0.024601713
224,Jan.-Dec. 2011,EU28_INTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"12,688,626,321",0.18262175
253,Jan.-Dec. 2011,GERMANY (incl DD from 1991),BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,355,226,039",0.11622347
282,Jan.-Dec. 2011,EU28_EXTRA,CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,846,384,605",0.255678168
311,Jan.-Dec. 2011,EU28_INTRA,CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"5,735,776,230",0.924884931
340,Jan.-Dec. 2011,GERMANY (incl DD from 1991),CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"967,242,972",0.100942051
369,Jan.-Dec. 2011,EU28_EXTRA,CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"417,115,900",0.062228063
398,Jan.-Dec. 2011,EU28_INTRA,CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"888,919,769",0.642116569
427,Jan.-Dec. 2011,GERMANY (incl DD from 1991),CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"66,623,427",0.051011951
456,Jan.-Dec. 2011,EU28_EXTRA,CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"19,464,558,113",20.37014987
485,Jan.-Dec. 2011,EU28_INTRA,CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"97,589,523,668",4.996601126
514,Jan.-Dec. 2011,GERMANY (incl DD from 1991),CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"37,699,188,856",0.322066418
543,Jan.-Dec. 2011,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"27,813,551,410",0.205586637
572,Jan.-Dec. 2011,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"52,548,535,460",0.8021117
601,Jan.-Dec. 2011,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"13,059,149,400",0.162503861
1392,Jan.-Dec. 2019,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1393,Jan.-Dec. 1991,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1394,Jan.-Dec. 1992,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1395,Jan.-Dec. 1993,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1396,Jan.-Dec. 1994,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1397,Jan.-Dec. 1995,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1398,Jan.-Dec. 1996,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1399,Jan.-Dec. 1997,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1400,Jan.-Dec. 1998,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1401,Jan.-Dec. 1999,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
630,Jan.-Dec. 2011,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"4,045,251,239",#VALUE!
659,Jan.-Dec. 2011,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"7,958,111,665",#VALUE!
688,Jan.-Dec. 2011,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"550,144,261",0.045832511
717,Jan.-Dec. 2011,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"25,117,585,378",2.952142671
746,Jan.-Dec. 2011,EU28_INTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"31,737,616,384",1.2364793
775,Jan.-Dec. 2011,GERMANY (incl DD from 1991),FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"5,626,312,995",0.098958632
804,Jan.-Dec. 2011,EU28_EXTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"167,091,806,492",4.472008412
833,Jan.-Dec. 2011,EU28_INTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"261,408,748,068",1.513499272
862,Jan.-Dec. 2011,GERMANY (incl DD from 1991),FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"70,589,678,214",0.164736492
891,Jan.-Dec. 2011,EU28_EXTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"11,750,001,022",0.035391737
920,Jan.-Dec. 2011,EU28_INTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"12,627,310,489",0.153356324
949,Jan.-Dec. 2011,GERMANY (incl DD from 1991),GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"1,909,713,402",0.078339787
978,Jan.-Dec. 2011,EU28_EXTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"18,226,097,245",1.253770881
1007,Jan.-Dec. 2011,EU28_INTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"62,457,587,005",3.101816366
1036,Jan.-Dec. 2011,GERMANY (incl DD from 1991),HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"19,850,516,855",0.246028885
1065,Jan.-Dec. 2011,EU28_EXTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"38,363,016,726",0.466090396
1094,Jan.-Dec. 2011,EU28_INTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"53,191,478,368",0.913730452
1123,Jan.-Dec. 2011,GERMANY (incl DD from 1991),IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"6,324,113,099",0.069074851
1152,Jan.-Dec. 2011,EU28_EXTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"162,970,097,128",2.738275687
1421,Jan.-Dec. 2019,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1422,Jan.-Dec. 1991,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1423,Jan.-Dec. 1992,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1424,Jan.-Dec. 1993,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1425,Jan.-Dec. 1994,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1426,Jan.-Dec. 1995,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1427,Jan.-Dec. 1996,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1428,Jan.-Dec. 1997,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1429,Jan.-Dec. 1998,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1430,Jan.-Dec. 1999,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1181,Jan.-Dec. 2011,EU28_INTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"212,933,734,725",#VALUE!
1210,Jan.-Dec. 2011,GERMANY (incl DD from 1991),ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"49,267,287,873",#VALUE!
1239,Jan.-Dec. 2011,EU28_EXTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,205,927,744",0.012226984
1268,Jan.-Dec. 2011,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"6,226,789,525",0.118666056
1297,Jan.-Dec. 2011,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"717,556,667",0.076071046
1326,Jan.-Dec. 2011,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"7,779,578,493",1.120275153
1355,Jan.-Dec. 2011,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"12,371,268,622",1.455934075
1384,Jan.-Dec. 2011,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,874,425,716",0.093019698
1413,Jan.-Dec. 2011,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"2,965,163,184",0.208144518
1442,Jan.-Dec. 2011,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"12,024,975,680",2.484710154
1471,Jan.-Dec. 2011,GERMANY (incl DD from 1991),LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"3,120,044,017",0.208139767
1500,Jan.-Dec. 2011,EU28_EXTRA,MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,854,556,702",0.122453238
1529,Jan.-Dec. 2011,EU28_INTRA,MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,295,981,273",0.260519657
1558,Jan.-Dec. 2011,GERMANY (incl DD from 1991),MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"323,439,441",0.102661654
1587,Jan.-Dec. 2011,EU28_EXTRA,NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"109,713,430,325",67.74856551
