,PERIOD,PARTNER,REPORTER,PRODUCT,FLOW,INDICATORS,Value,Per
62,Jan.-Dec. 1994,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
63,Jan.-Dec. 1995,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"16,564,197,111",
64,Jan.-Dec. 1996,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"17,133,096,934",
65,Jan.-Dec. 1997,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"18,408,143,567",
66,Jan.-Dec. 1998,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"20,573,027,778",
67,Jan.-Dec. 1999,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"21,663,047,698",
1112,Jan.-Dec. 2000,GERMANY (incl DD from 1991),IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"9,393,147,322",0.22239631
1141,Jan.-Dec. 2000,EU28_EXTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"98,774,774,722",3.180517596
1170,Jan.-Dec. 2000,EU28_INTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"161,638,476,361",1.494329126
1199,Jan.-Dec. 2000,GERMANY (incl DD from 1991),ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"39,557,735,645",0.151903697
1228,Jan.-Dec. 2000,EU28_EXTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"389,977,556",0.001938295
1257,Jan.-Dec. 2000,EU28_INTRA,LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,633,049,662",0.040879678
1286,Jan.-Dec. 2000,GERMANY (incl DD from 1991),LATVIA,TOTAL,EXPORT,VALUE_IN_EUROS,"347,353,340",0.171699786
1315,Jan.-Dec. 2000,EU28_EXTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"972,607,315",0.491115856
1344,Jan.-Dec. 2000,EU28_INTRA,LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,882,301,822",2.183627073
1373,Jan.-Dec. 2000,GERMANY (incl DD from 1991),LITHUANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"578,090,395",0.149962133
1402,Jan.-Dec. 2000,EU28_EXTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"1,198,844,288",0.346447516
1431,Jan.-Dec. 2000,EU28_INTRA,LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"7,872,055,169",4.430131982
1460,Jan.-Dec. 2000,GERMANY (incl DD from 1991),LUXEMBOURG,TOTAL,EXPORT,VALUE_IN_EUROS,"2,262,478,164",0.24942159
1489,Jan.-Dec. 2000,EU28_EXTRA,MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,753,507,730",0.173023036
1518,Jan.-Dec. 2000,EU28_INTRA,MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"902,383,613",0.224697904
1547,Jan.-Dec. 2000,GERMANY (incl DD from 1991),MALTA,TOTAL,EXPORT,VALUE_IN_EUROS,"254,537,420",0.095838793
1576,Jan.-Dec. 2000,EU28_EXTRA,NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"46,981,289,330",40.60889896
1605,Jan.-Dec. 2000,EU28_INTRA,NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"205,432,907,140",4.349090961
1634,Jan.-Dec. 2000,GERMANY (incl DD from 1991),NETHERLANDS,TOTAL,EXPORT,VALUE_IN_EUROS,"66,637,945,770",0.264002369
87,Jan.-Dec. 2019,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
88,Jan.-Dec. 1991,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
89,Jan.-Dec. 1992,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
90,Jan.-Dec. 1993,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
91,Jan.-Dec. 1994,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
92,Jan.-Dec. 1995,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
93,Jan.-Dec. 1996,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
94,Jan.-Dec. 1997,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
95,Jan.-Dec. 1998,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
96,Jan.-Dec. 1999,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
1663,Jan.-Dec. 2000,EU28_EXTRA,POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"6,380,490,771",#VALUE!
1692,Jan.-Dec. 2000,EU28_INTRA,POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"27,992,866,370",#VALUE!
1721,Jan.-Dec. 2000,GERMANY (incl DD from 1991),POLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"11,977,520,070",0.348453601
1750,Jan.-Dec. 2000,EU28_EXTRA,PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"4,853,951,927",0.121438704
1779,Jan.-Dec. 2000,EU28_INTRA,PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"21,524,810,848",1.278843042
1808,Jan.-Dec. 2000,GERMANY (incl DD from 1991),PORTUGAL,TOTAL,EXPORT,VALUE_IN_EUROS,"4,760,853,169",0.180480533
1837,Jan.-Dec. 2000,EU28_EXTRA,ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,115,416,808",0.118521518
1866,Jan.-Dec. 2000,EU28_INTRA,ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"8,157,844,521",1.035749732
1895,Jan.-Dec. 2000,GERMANY (incl DD from 1991),ROMANIA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,763,328,150",0.156416861
2011,Jan.-Dec. 2000,EU28_EXTRA,SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,242,896,658",0.125277192
2040,Jan.-Dec. 2000,EU28_INTRA,SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"11,567,714,053",3.847920496
2069,Jan.-Dec. 2000,GERMANY (incl DD from 1991),SLOVAKIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,443,314,034",0.268786096
1924,Jan.-Dec. 2000,EU28_EXTRA,SLOVENIA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,897,685,233",0.126419405
1953,Jan.-Dec. 2000,EU28_INTRA,SLOVENIA,TOTAL,EXPORT,VALUE_IN_EUROS,"7,597,521,989",1.422490738
1982,Jan.-Dec. 2000,GERMANY (incl DD from 1991),SLOVENIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,575,345,357",0.271225819
2098,Jan.-Dec. 2000,EU28_EXTRA,SPAIN,TOTAL,EXPORT,VALUE_IN_EUROS,"33,581,922,414",3.301126543
2127,Jan.-Dec. 2000,EU28_INTRA,SPAIN,TOTAL,EXPORT,VALUE_IN_EUROS,"91,202,448,732",2.522382203
2156,Jan.-Dec. 2000,GERMANY (incl DD from 1991),SPAIN,TOTAL,EXPORT,VALUE_IN_EUROS,"15,324,858,932",0.122810724
2185,Jan.-Dec. 2000,EU28_EXTRA,SWEDEN,TOTAL,EXPORT,VALUE_IN_EUROS,"37,337,804,871",0.350499845
116,Jan.-Dec. 2019,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
117,Jan.-Dec. 1991,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
118,Jan.-Dec. 1992,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
119,Jan.-Dec. 1993,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
120,Jan.-Dec. 1994,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
121,Jan.-Dec. 1995,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
122,Jan.-Dec. 1996,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
123,Jan.-Dec. 1997,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
124,Jan.-Dec. 1998,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
125,Jan.-Dec. 1999,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
2214,Jan.-Dec. 2000,EU28_INTRA,SWEDEN,TOTAL,EXPORT,VALUE_IN_EUROS,"57,002,239,442",#VALUE!
2243,Jan.-Dec. 2000,GERMANY (incl DD from 1991),SWEDEN,TOTAL,EXPORT,VALUE_IN_EUROS,"10,063,787,642",#VALUE!
2272,Jan.-Dec. 2000,EU28_EXTRA,UNITED KINGDOM,TOTAL,EXPORT,VALUE_IN_EUROS,"125,371,675,935",1.869376812
2301,Jan.-Dec. 2000,EU28_INTRA,UNITED KINGDOM,TOTAL,EXPORT,VALUE_IN_EUROS,"183,663,908,217",1.356099085
2330,Jan.-Dec. 2000,GERMANY (incl DD from 1991),UNITED KINGDOM,TOTAL,EXPORT,VALUE_IN_EUROS,"36,711,661,796",0.118794287
11,Jan.-Dec. 2001,EU28_EXTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"18,935,725,761",0.085924795
40,Jan.-Dec. 2001,EU28_INTRA,AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"60,062,814,808",1.079346533
69,Jan.-Dec. 2001,GERMANY (incl DD from 1991),AUSTRIA,TOTAL,EXPORT,VALUE_IN_EUROS,"25,527,927,152",0.323144288
98,Jan.-Dec. 2001,EU28_EXTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"46,731,538,473",0.545988239
127,Jan.-Dec. 2001,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"165,806,069,544",2.294593077
156,Jan.-Dec. 2001,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"38,526,208,337",0.181267723
185,Jan.-Dec. 2001,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"2,240,472,678",0.01096485
214,Jan.-Dec. 2001,EU28_INTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,473,757,735",0.085210708
243,Jan.-Dec. 2001,GERMANY (incl DD from 1991),BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,"545,117,521",0.095396489
272,Jan.-Dec. 2001,EU28_EXTRA,CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"1,662,834,115",0.413756091
301,Jan.-Dec. 2001,EU28_INTRA,CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,537,759,276",1.602281145
330,Jan.-Dec. 2001,GERMANY (incl DD from 1991),CROATIA,TOTAL,EXPORT,VALUE_IN_EUROS,"771,079,694",0.148267637
359,Jan.-Dec. 2001,EU28_EXTRA,CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"216,244,687",0.0501863
388,Jan.-Dec. 2001,EU28_INTRA,CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"269,845,949",0.273310327
145,Jan.-Dec. 2019,EU28_INTRA,BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
146,Jan.-Dec. 1991,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"22,608,223,525",
147,Jan.-Dec. 1992,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"21,785,970,537",
148,Jan.-Dec. 1993,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"22,589,771,615",
149,Jan.-Dec. 1994,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"24,809,553,441",
150,Jan.-Dec. 1995,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"27,842,026,471",
151,Jan.-Dec. 1996,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"28,822,895,338",
152,Jan.-Dec. 1997,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"29,464,154,541",
153,Jan.-Dec. 1998,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"31,498,291,477",
154,Jan.-Dec. 1999,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,"29,795,372,177",
417,Jan.-Dec. 2001,GERMANY (incl DD from 1991),CYPRUS,TOTAL,EXPORT,VALUE_IN_EUROS,"28,972,672",0.000472686
446,Jan.-Dec. 2001,EU28_EXTRA,CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"4,813,321,356",0.161389006
475,Jan.-Dec. 2001,EU28_INTRA,CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"32,395,105,700",6.690032764
