"","PERIOD","PARTNER","REPORTER","PRODUCT","FLOW","INDICATORS","Value"
"148","Jan.-Dec. 1993","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","22,589,771,615"
"149","Jan.-Dec. 1994","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","24,809,553,441"
"150","Jan.-Dec. 1995","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","27,842,026,471"
"151","Jan.-Dec. 1996","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","28,822,895,338"
"152","Jan.-Dec. 1997","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","29,464,154,541"
"153","Jan.-Dec. 1998","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","31,498,291,477"
"154","Jan.-Dec. 1999","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","29,795,372,177"
"155","Jan.-Dec. 2000","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","34,541,497,892"
"156","Jan.-Dec. 2001","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","38,526,208,337"
"157","Jan.-Dec. 2002","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","42,606,415,320"
"158","Jan.-Dec. 2003","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","43,993,315,140"
"159","Jan.-Dec. 2004","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","48,671,840,864"
